Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
2445,Spouse,0,2446,0
818,Spouse,0,817,0
6951,Spouse,0,12058,0
1878,Spouse,0,1879,0
1349,Employee,1,8572,0
8463,Owner,1,14924,0
12714,Spouse,0,3484,0
3940,Spouse,0,11665,0
3484,Spouse,0,12714,0
11665,Spouse,0,3940,0
21475,Spouse,0,12308,0
12308,Spouse,0,21475,0
7441,Employee,1,7442,0
7441,Employee,1,7443,0
7441,Employee,1,7446,0
2174,Spouse,0,2175,0
2419,Spouse,0,2418,0
2419,Spouse,0,6662,0
2175,Spouse,0,2174,0
6662,Spouse,0,2419,0
2418,Spouse,0,2419,0
6267,Spouse,0,827,0
5995,Spouse,0,5994,0
827,Spouse,0,6267,0
5994,Spouse,0,5995,0
8163,Spouse,0,8164,0
8164,Spouse,0,8163,0
434,Spouse,0,433,0
433,Employer,0,162,1
433,Spouse,0,434,0
26526,Spouse,0,26525,0
26525,Spouse,0,26526,0
6100,Employee,1,6101,0
1964,Spouse,0,1963,0
1963,Spouse,0,1964,0
1856,Spouse,0,1857,0
1857,Spouse,0,1856,0
9484,Spouse,0,9485,0
9485,Spouse,0,9484,0
28592,Owned Organization,0,28808,1
134,Employee,1,12094,0
134,Employee,1,12409,0
134,Employee,1,12105,0
134,Employee,1,12093,0
134,Employee,1,9360,0
134,Employee,1,12199,0
134,Employee,1,193,0
134,Employee,1,20740,0
134,Employee,1,231,0
134,Employee,1,677,0
134,Employee,1,11144,0
134,Employee,1,12416,0
134,Employee,1,11598,0
134,Employee,1,396,0
134,Employee,1,417,0
134,Employee,1,12636,0
134,Employee,1,104,0
134,Employee,1,12088,0
134,Employee,1,12404,0
134,Employee,1,698,0
134,Employee,1,12640,0
134,Employee,1,752,0
134,Employee,1,12654,0
134,Employee,1,2513,0
134,Employee,1,121,0
134,Employee,1,12089,0
134,Employee,1,1527,0
134,Employee,1,42,0
134,Employee,1,10385,0
134,Employee,1,10845,0
8798,Spouse,0,8797,0
8797,Spouse,0,8798,0
12596,Employer,0,1445,1
2513,Employer,0,134,1
2513,Spouse,0,11216,0
11216,Spouse,0,2513,0
1893,Spouse,0,1892,0
1892,Spouse,0,1893,0
830,Spouse,0,831,0
831,Spouse,0,830,0
1645,Spouse,0,4973,0
4973,Spouse,0,1645,0
833,Spouse,0,832,0
832,Spouse,0,833,0
6821,Spouse,0,834,0
834,Spouse,0,6821,0
1816,Spouse,0,1817,0
1817,Spouse,0,1816,0
7314,Spouse,0,11256,0
11256,Spouse,0,7314,0
6318,Spouse,0,6319,0
6319,Spouse,0,6318,0
21445,Spouse,0,20694,0
20694,Wife,0,21445,0
10917,Spouse,0,10918,0
837,Spouse,0,838,0
838,Spouse,0,837,0
13051,Employer,0,9814,1
5273,Spouse,0,5269,0
5269,Spouse,0,5273,0
12261,Employer,0,12630,1
1742,Spouse,0,1741,0
1741,Spouse,0,1742,0
8532,Employer,0,8533,1
2249,Spouse,0,839,0
10705,Spouse,0,10704,0
839,Spouse,0,2249,0
10704,Spouse,0,10705,0
8311,Spouse,0,8310,0
8310,Spouse,0,8311,0
6080,Spouse,0,1493,1
1493,Employee,1,11247,0
